Place	Bib	Name	Team	Time
272nd	1418	Jared Rios	Tasco MTB	9h 51m 10.64s
273rd	137	Jason Eddy		9h 51m 14.06s
274th	459	Ralph Bonnin	Canyon Velo	9h 51m 20.01s
275th	349	Justin Callahan		9h 51m 52.70s
276th	872	Andrew Coetzee	Wonderful Suffering	9h 51m 54.03s
277th	538	Mike Matz	Wolf Pack Cycling	9h 51m 56.29s
278th	56	Spencer Ingels	Dolce Vita Cycling	9h 52m 18.55s
279th	633	Doug Dewoody	Tulsa Wheelmen	9h 52m 37.99s
280th	679	Robert Mennow	Exhale Bikes / PTSD	9h 54m 06.27s
281st	1403	Colton Douda		9h 54m 20.52s
282nd	1096	Ryan Madson	Skrewball Whisky / Cordova Bar	9h 54m 22.11s
283rd	677	Chip McAvoy	Victory Velo Racing	9h 54m 24.67s
284th	606	Raz Alon		9h 55m 02.98s
285th	532	Emerson Lindenlaub		9h 55m 11.56s
286th	587	Deven Van Greuningen	TMB Development p/b Equator Coffees	9h 55m 11.98s
287th	775	Colton Miller		9h 55m 12.69s
288th	922	Tom Erdmann		9h 55m 36.16s
289th	493	Jeff Gemar		9h 55m 48.15s
290th	357	Scott Demyer	Wahoo Fitness Masters	9h 55m 58.87s
291st	1436	Juan Restrepo		9h 56m 08.84s
292nd	632	Vaz Dera	DEFCON Hitch Wheels	9h 56m 32.80s
293rd	345	Mike Bridschge		9h 56m 39.69s
294th	468	Matt Carvell	Alto Velo	9h 57m 36.03s
295th	58	Ryan Ley	Audi Reno Tahoe	9h 57m 40.71s
296th	243	Rob Bonner	Ninety West Racing	9h 58m 20.29s
297th	422	Shawn Ruda		9h 58m 21.74s
298th	350	Alejandro Carriedo		9h 58m 24.75s
299th	896	Riley Dao	Maverick Cycles	9h 58m 32.61s
300th	1104	Rj Marsan	Super Sprinkles	9h 59m 00.04s
301st	1231	Jeffrey Rentz		9h 59m 05.11s
302nd	1296	Steven Strong		9h 59m 27.08s
303rd	551	Richard Northing		9h 59m 27.81s
304th	1456	Gilles Brochard	Velotown Racing	9h 59m 54.05s
305th	913	Blake Dunkleberger		9h 59m 55.76s
306th	61	Mark Nagy	Wolf Pack Cycling Club	9h 59m 58.89s
307th	1114	Tim Maytom	Zwift	10h 00m 09.78s
308th	1338	Justin Weiner	Spaero Triathlon	10h 00m 14.26s
309th	617	Hudson Billock	UCLA Cycling	10h 00m 30.73s
310th	778	Ben Muessig		10h 00m 31.61s
311th	76	Matthew Saffiote		10h 01m 55.31s
312th	401	Brad Moore		10h 02m 00.13s
313th	392	Chris Lundberg		10h 02m 06.10s
314th	1399	Jorge Simental	Coureur	10h 03m 05.25s
315th	486	Andrew Erickson	Carefast Cycling	10h 03m 08.25s
316th	785	Adam Saegebarth		10h 03m 39.77s
317th	77	Ira Armad	RCC SEA	10h 03m 39.84s
318th	89	Benjamin Cousins	Velosport Cycling	10h 03m 50.32s
319th	772	Scott Long	Los Angeles Bicycle Club	10h 04m 00.41s
320th	369	Arron Hampton	Wolfpack Bike Racing	10h 04m 14.62s
321st	1069	Brandon Lee		10h 04m 17.38s
322nd	1362	Damian Wright		10h 05m 15.30s
323rd	985	Richard Hastings		10h 05m 15.47s
324th	713	Marco Soldano	SavvyBike	10h 05m 42.45s
325th	1419	M-a Robin		10h 05m 56.82s
326th	536	Erick Marcheschi		10h 06m 20.40s
327th	1277	Daniel Siapin	Precision Landscape & Turf, Inc.	10h 07m 38.66s
328th	880	Adam Cooke	LMR & EDCO Waste Management Systems	10h 07m 40.26s
329th	799	Aaron Amerine	Padyak Racing Team	10h 07m 40.26s
330th	351	Ben Cota	CoreTechs Cycling Team	10h 07m 48.25s
331st	1415	Michael Mulder	UCLA Triathlon	10h 08m 12.85s
332nd	604	Jacob Abrantes	Hollands Bicycles	10h 08m 30.15s
333rd	685	Patrick Morris	Baring Performance Management	10h 09m 43.18s
334th	128	Joey Forehand	Body Concepts	10h 10m 30.04s
335th	1165	Nishant Nishant	Desert Aces	10h 10m 30.32s
336th	416	Douglas Ritenour	Squadra p/b MMC	10h 11m 08.98s
337th	644	Paul Gerhardt	Welhous Bikes	10h 11m 12.99s
338th	1161	Payton Nevills		10h 11m 20.95s
339th	1177	Amine Ouahidi	VeloNutz	10h 11m 35.82s
340th	782	Lucas Pozzetta	Eliel Factory Team	10h 12m 39.24s
341st	478	Christopher Davy	Go Fast - Incycle	10h 12m 39.40s
342nd	1366	Renault Young	PTO COFFEE	10h 12m 51.23s
343rd	317	Ronnie Toth	WetSnifferRacing	10h 13m 39.04s
344th	672	Frederic Lequient	Splunk Racing	10h 13m 45.43s
345th	557	Clayton Paradis		10h 14m 39.88s
346th	1085	Michael Lord		10h 15m 32.73s
347th	701	Michael Ravenelle	Eliel Factory Team	10h 15m 33.85s
348th	671	Stephen Lebovitz	Motor Mile Racing	10h 16m 06.76s
349th	601	Brendon Zinke	Coors	10h 16m 19.00s
350th	115	Matthew Fischer		10h 16m 50.51s
351st	1128	John McQueen	VeloNutz	10h 17m 28.22s
